title, genres, year, rating
Three Burials of Melquiades Estrada,Adventure|Crime|Drama,2006,4
Hero (Ying xiong),Action|Adventure|Drama,2002,2
Birthday Girl,Drama|Romance,2001,3
Fast and the Furious,Action|Crime|Thriller,2001,2.5
Atlantis: The Lost Empire,Adventure|Animation|Children|Fantasy,2001,2
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,2006,4.5
Hours,Drama|Romance,2002,3
Hero (Ying xiong),Action|Adventure|Drama,2002,4.5
Talk to Her (Hable con Ella),Drama|Romance,2002,4
Constant Gardener,Drama|Thriller,2005,5
Doubt,Drama|Mystery,2008,4
Cold Mountain,Drama|Romance|War,2003,4.5
Whale Rider,Drama,2002,5
Man Who Wasn't There,Crime|Drama,2001,3
Panic Room,Thriller,2002,2.5
Secretary,Comedy|Drama|Romance,2002,3
8 Mile,Drama,2002,1
Letters from Iwo Jima,Drama|War,2006,4.5
Lara Croft: Tomb Raider,Action|Adventure,2001,1
Valentine,Horror|Mystery,2001,2
Hot Fuzz,Action|Comedy|Crime|Mystery,2007,4.5
2046,Drama|Fantasy|Romance|Sci-Fi,2004,3.5
Corpse Bride,Animation|Comedy|Fantasy|Musical|Romance,2005,3
Forsaken,Horror,2001,3
Before Sunset,Drama|Romance,2004,2.5
Marie Antoinette,Drama|Romance,2006,4.5
Queen of the Damned,Fantasy|Horror,2002,2
Spider,Drama|Mystery,2002,3
Kingdom of Heaven,Action|Drama|Romance|War,2005,2.5
Libertine,Drama,2004,3
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),Adventure|Children|Fantasy,2001,4
House of Sand and Fog,Drama,2003,2.5
Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,2001,5
Ghost World,Comedy|Drama,2001,2
Elling,Comedy|Drama,2001,3
Capturing the Friedmans,Documentary,2003,5
Beautiful Mind,Drama|Romance,2001,4
Showtime,Action|Comedy,2002,3
21 Grams,Crime|Drama|Mystery|Romance|Thriller,2003,4.5
Death to Smoochy,Comedy|Crime|Drama,2002,2
Love Actually,Comedy|Drama|Romance,2003,3.5
Star Wars: Episode II - Attack of the Clones,Action|Adventure|Sci-Fi|IMAX,2002,4
Very Long Engagement,Drama|Mystery|Romance|War,2004,2.5
Enough,Drama|Thriller,2002,3
Harry Potter and the Chamber of Secrets,Adventure|Fantasy,2002,4
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,2001,4
From Hell,Crime|Horror|Mystery|Thriller,2001,3
Made,Comedy,2001,2
Mothman Prophecies,Drama|Fantasy|Horror|Mystery|Thriller,2002,2
Lilya 4-Ever (Lilja 4-ever),Crime|Drama,2002,3
Punch-Drunk Love,Comedy|Drama|Romance,2002,3
Everything Is Illuminated,Comedy|Drama,2005,4
Adaptation,Comedy|Drama|Romance,2002,4
Superbad,Comedy,2007,4.5
Snow Cake,Drama,2006,4.5
Lost in Translation,Comedy|Drama|Romance,2003,5
Swimming Pool,Drama|Mystery|Thriller,2003,3
Jurassic Park III,Action|Adventure|Sci-Fi|Thriller,2001,3
Walk the Line,Drama|Musical|Romance,2005,4
Planet of the Apes,Action|Adventure|Drama|Sci-Fi,2001,3
And Your Mother Too (Y tu mamá también),Drama|Romance,2001,1.5
Possession,Drama|Romance,2002,2
House of Flying Daggers (Shi mian mai fu),Action|Drama|Romance,2004,4
Lord of the Rings: The Two Towers,Adventure|Fantasy,2002,5
In Bruges,Comedy|Crime|Drama|Thriller,2008,4
Matrix Reloaded,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,1.5
Finding Nemo,Adventure|Animation|Children|Comedy,2003,4.5
Matrix Revolutions,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,1
Soul Survivors (a.k.a. The Killer Cut),Horror|Thriller,2001,1.5
Lord of the Rings: The Return of the King,Action|Adventure|Drama|Fantasy,2003,5
Ghost World,Comedy|Drama,2001,4.5
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,2004,5
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,2001,5
Star Wars: Episode III - Revenge of the Sith,Action|Adventure|Sci-Fi,2005,4.5
Punch-Drunk Love,Comedy|Drama|Romance,2002,4.5
Island,Action|Sci-Fi|Thriller,2005,3.5
Charlotte Gray,Drama|Romance,2001,4
V for Vendetta,Action|Sci-Fi|Thriller|IMAX,2006,4
Sex and Lucia (Lucía y el sexo),Drama|Romance,2001,3
Juno,Comedy|Drama|Romance,2007,5
24 Hour Party People,Comedy|Drama|Musical,2002,2
3:10 to Yuma,Action|Crime|Drama|Western,2007,4
Amelie (Fabuleux destin d'Amélie Poulain,Comedy|Romance,2001,5
Eastern Promises,Crime|Drama|Thriller,2007,4.5
Garden State,Comedy|Drama|Romance,2004,4
Edge of Heaven,Drama,2007,5
No Country for Old Men,Crime|Drama,2007,5
Sylvia,Drama|Romance,2003,4
Adaptation,Comedy|Drama|Romance,2002,4.5
There Will Be Blood,Drama|Western,2007,5
Little Miss Sunshine,Adventure|Comedy|Drama,2006,5
28 Days Later,Action|Horror|Sci-Fi,2002,4.5
My Blueberry Nights,Drama|Romance,2007,4.5
Little Children,Drama|Romance,2006,4.5
American Splendor,Comedy|Drama,2003,4.5
Into the Wild,Action|Adventure|Drama,2007,4.5
War of the Worlds,Action|Adventure|Sci-Fi|Thriller,2005,4
There Will Be Blood,Drama|Western,2007,4.5
Elling,Comedy|Drama,2001,2.5
In the Bedroom,Drama,2001,4.5
Zoolander,Comedy,2001,4
Munich,Action|Crime|Drama|Thriller,2005,4
Secretary,Comedy|Drama|Romance,2002,4.5
Secret Things (Choses secrètes),Drama,2002,3.5
Red Dragon,Crime|Mystery|Thriller,2002,3.5
Dark Knight,Action|Crime|Drama|IMAX,2008,4.5
Enron: The Smartest Guys in the Room,Documentary,2005,4.5
Harry Potter and the Prisoner of Azkaban,Adventure|Fantasy|IMAX,2004,5
The Queen,Drama,2006,4.5
Harry Potter and the Goblet of Fire,Adventure|Fantasy|Thriller|IMAX,2005,4.5
Milk,Drama,2008,4.5
Lives of Others,Drama|Romance|Thriller,2006,5
Harry Potter and the Order of the Phoenix,Adventure|Drama|Fantasy|IMAX,2007,4.5
Others,Drama|Horror|Mystery|Thriller,2001,4
Lost in Translation,Comedy|Drama|Romance,2003,5
Wind That Shakes the Barley,Drama|War,2006,4.5
Planet Terror,Action|Horror|Sci-Fi,2007,4
Watchmen,Action|Drama|Mystery|Sci-Fi|Thriller|IMAX,2009,3.5
Dogtown and Z-Boyz,Documentary,2001,4
War of the Worlds,Action|Adventure|Sci-Fi|Thriller,2005,3
Before Sunset,Drama|Romance,2004,5
Spirited Away (Sen to Chihiro no kamikakushi),Adventure|Animation|Fantasy,2001,5
Burn After Reading,Comedy|Crime|Drama,2008,4.5
School of Rock,Comedy|Musical,2003,4
40-Year-Old Virgin,Comedy|Romance,2005,4.5
Ratatouille,Animation|Children|Drama,2007,5
Dark Knight,Action|Crime|Drama|IMAX,2008,5
Iron Man,Action|Adventure|Sci-Fi,2008,4
Kung Fu Panda,Action|Animation|Children|Comedy|IMAX,2008,4
WALL·E,Adventure|Animation|Children|Romance|Sci-Fi,2008,5
Slumdog Millionaire,Crime|Drama|Romance,2008,4
About a Boy,Comedy|Drama|Romance,2002,4
Bowling for Columbine,Documentary,2002,5
Bend It Like Beckham,Comedy|Drama|Romance,2002,3.5
Charlie and the Chocolate Factory,Adventure|Children|Comedy|Fantasy|IMAX,2005,3.5
Million Dollar Baby,Drama,2004,5
Gosford Park,Comedy|Drama|Mystery,2001,5
Pirates of the Caribbean: Dead Man's Chest,Action|Adventure|Fantasy,2006,3
Once,Drama|Musical|Romance,2006,4.5
Man on Wire,Documentary,2008,4.5
Wrestler,Drama,2008,5
Chicago,Comedy|Crime|Drama|Musical,2002,4.5
Knight's Tale,Action|Comedy|Romance,2001,2.5
Mystic River,Crime|Drama|Mystery,2003,4.5
Brokeback Mountain,Drama|Romance,2005,5
Seabiscuit,Drama,2003,3.5
Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Documentary|War,2003,5
Harry Potter and the Prisoner of Azkaban,Adventure|Fantasy|IMAX,2004,4.5
Finding Neverland,Drama,2004,3.5
Aviator,Drama,2004,4.5
Constant Gardener,Drama|Thriller,2005,4.5
Harry Potter and the Goblet of Fire,Adventure|Fantasy|Thriller|IMAX,2005,4
Quantum of Solace,Action|Adventure|Thriller,2008,0.5
Chronicles of Narnia: The Lion,Adventure|Children|Fantasy,2005,3.5
I Am Sam,Drama,2001,4.5
Lives of Others,Drama|Romance|Thriller,2006,5
21 Grams,Crime|Drama|Mystery|Romance|Thriller,2003,5
Last King of Scotland,Drama|Thriller,2006,4
Zodiac,Crime|Drama|Thriller,2007,4.5
Volver,Comedy|Drama,2006,4
Babel,Drama|Thriller,2006,5
Girl with a Pearl Earring,Drama|Romance,2003,3.5
Good bye,Comedy|Drama,2003,4.5
Match Point,Crime|Drama|Romance,2005,3.5
Vicky Cristina Barcelona,Comedy|Drama|Romance,2008,5
